id,student_no,raw_score,student_id,year,grade,subject,exam_round
72492,2330040,75,1261,2021,_2,__,1
72493,2330059,91,1343,2021,_2,__,1
72494,2330091,87,1264,2021,_2,__,1
72495,2330130,79,1345,2021,_2,__,1
72496,2330148,88,1303,2021,_2,__,1
72497,2330156,91,1346,2021,_2,__,1
72498,2330199,94,1306,2021,_2,__,1
72499,2330202,89,1307,2021,_2,__,1
72500,2330210,87,1347,2021,_2,__,1
72501,2330245,76,1309,2021,_2,__,1
72502,2330253,78,1349,2021,_2,__,1
72503,2330288,74,1269,2021,_2,__,1
72504,2330318,84,1351,2021,_2,__,1
72505,2330342,90,1271,2021,_2,__,1
72506,2330423,93,1314,2021,_2,__,1
72507,2330458,91,1315,2021,_2,__,1
72508,2330466,82,1354,2021,_2,__,1
72509,2330482,77,1355,2021,_2,__,1
72510,2330547,78,1280,2021,_2,__,1
72511,2330563,,1281,2021,_2,__,1
72512,2330571,89,1282,2021,_2,__,1
72513,2330601,80,1283,2021,_2,__,1
72514,2330610,71,1317,2021,_2,__,1
72515,2330687,79,1286,2021,_2,__,1
72516,2330709,79,1321,2021,_2,__,1
72517,2330792,70,1365,2021,_2,__,1
72518,2330822,96,1289,2021,_2,__,1
72519,2330830,69,1367,2021,_2,__,1
72520,2330865,81,1369,2021,_2,__,1
72521,2330873,81,1290,2021,_2,__,1
72522,2330890,73,1291,2021,_2,__,1
72523,2330938,95,1330,2021,_2,__,1
72524,2330946,86,1371,2021,_2,__,1
72525,2330954,80,1332,2021,_2,__,1
72526,2331055,89,1376,2021,_2,__,1
72527,2331063,71,1335,2021,_2,__,1
72528,2331080,50,1377,2021,_2,__,1
72529,2331128,92,1337,2021,_2,__,1
72530,2331160,85,1298,2021,_2,__,1
72531,2331187,94,1300,2021,_2,__,1
72532,2330016,73,1341,2021,_2,__,1
72533,2330024,83,1342,2021,_2,__,1
72534,2330032,77,1301,2021,_2,__,1
72535,2330067,96,1262,2021,_2,__,1
72536,2330075,60,1263,2021,_2,__,1
72537,2330083,75,1344,2021,_2,__,1
72538,2330121,83,1266,2021,_2,__,1
72539,2330180,90,1305,2021,_2,__,1
72540,2330237,75,1308,2021,_2,__,1
72541,2330261,80,1268,2021,_2,__,1
72542,2330270,68,1310,2021,_2,__,1
72543,2330326,75,1352,2021,_2,__,1
72544,2330334,52,1311,2021,_2,__,1
72545,2330385,91,1313,2021,_2,__,1
72546,2330393,71,1273,2021,_2,__,1
72547,2330415,78,1275,2021,_2,__,1
72548,2330440,81,1277,2021,_2,__,1
72549,2330474,71,1278,2021,_2,__,1
72550,2330490,56,1356,2021,_2,__,1
72551,2330504,84,1316,2021,_2,__,1
72552,2330580,79,1360,2021,_2,__,1
72553,2330636,97,1284,2021,_2,__,1
72554,2330628,,1318,2021,_2,__,1
72555,2330660,96,1285,2021,_2,__,1
72556,2330717,74,1322,2021,_2,__,1
72557,2330768,95,1325,2021,_2,__,1
72558,2330733,49,1323,2021,_2,__,1
72559,2330776,79,1288,2021,_2,__,1
72560,2330784,81,1326,2021,_2,__,1
72561,2330857,78,1368,2021,_2,__,1
72562,2330881,79,1370,2021,_2,__,1
72563,2330970,85,1373,2021,_2,__,1
72564,2330989,88,1293,2021,_2,__,1
72565,2330997,77,1294,2021,_2,__,1
72566,2331039,71,1334,2021,_2,__,1
72567,2331047,72,1375,2021,_2,__,1
72568,2331071,98,1296,2021,_2,__,1
72569,2331110,97,1297,2021,_2,__,1
72570,2331136,78,1379,2021,_2,__,1
72571,2331179,77,1299,2021,_2,__,1
72572,2330105,77,1302,2021,_2,__,1
72573,2330113,78,1265,2021,_2,__,1
72574,2330164,94,1267,2021,_2,__,1
72575,2330172,94,1304,2021,_2,__,1
72576,2330229,77,1348,2021,_2,__,1
72577,2330296,71,1350,2021,_2,__,1
72578,2330300,79,1270,2021,_2,__,1
72579,2330350,75,1312,2021,_2,__,1
72580,2330369,82,1272,2021,_2,__,1
72581,2330377,74,1353,2021,_2,__,1
72582,2330407,73,1274,2021,_2,__,1
72583,2330431,91,1276,2021,_2,__,1
72584,2330512,,1357,2021,_2,__,1
72585,2330520,96,1358,2021,_2,__,1
72586,2330539,87,1279,2021,_2,__,1
72587,2330555,80,1359,2021,_2,__,1
72588,2330598,83,1361,2021,_2,__,1
72589,2330644,87,1319,2021,_2,__,1
72590,2330652,98,1362,2021,_2,__,1
72591,2330679,76,1320,2021,_2,__,1
72592,2330695,88,1363,2021,_2,__,1
72593,2330725,89,1364,2021,_2,__,1
72594,2330741,81,1287,2021,_2,__,1
72595,2330750,87,1324,2021,_2,__,1
72596,2330806,94,1327,2021,_2,__,1
72597,2330814,89,1366,2021,_2,__,1
72598,2330849,100,1328,2021,_2,__,1
72599,2330903,63,1329,2021,_2,__,1
72600,2330911,94,1292,2021,_2,__,1
72601,2330920,62,1331,2021,_2,__,1
72602,2330962,85,1372,2021,_2,__,1
72603,2331004,92,1295,2021,_2,__,1
72604,2331012,74,1333,2021,_2,__,1
72605,2331020,90,1374,2021,_2,__,1
72606,2331098,76,1378,2021,_2,__,1
72607,2331101,86,1336,2021,_2,__,1
72608,2331144,93,1338,2021,_2,__,1
72609,2331152,86,1339,2021,_2,__,1
72610,2331195,100,1380,2021,_2,__,1
72611,2331209,81,1340,2021,_2,__,1
