id,student_no,Unnamed: 3,raw_score,student_id,year,grade,subject,exam_round
72492,2330040,saikyo.ed.jp,75,1261,2021,_2,__,2
72493,2330059,saikyo.ed.jp,91,1343,2021,_2,__,2
72494,2330091,saikyo.ed.jp,87,1264,2021,_2,__,2
72495,2330130,saikyo.ed.jp,79,1345,2021,_2,__,2
72496,2330148,saikyo.ed.jp,88,1303,2021,_2,__,2
72497,2330156,saikyo.ed.jp,91,1346,2021,_2,__,2
72498,2330199,saikyo.ed.jp,94,1306,2021,_2,__,2
72499,2330202,saikyo.ed.jp,89,1307,2021,_2,__,2
72500,2330210,saikyo.ed.jp,87,1347,2021,_2,__,2
72501,2330245,saikyo.ed.jp,76,1309,2021,_2,__,2
72502,2330253,saikyo.ed.jp,78,1349,2021,_2,__,2
72503,2330288,saikyo.ed.jp,74,1269,2021,_2,__,2
72504,2330318,saikyo.ed.jp,84,1351,2021,_2,__,2
72505,2330342,saikyo.ed.jp,90,1271,2021,_2,__,2
72506,2330423,saikyo.ed.jp,93,1314,2021,_2,__,2
72507,2330458,saikyo.ed.jp,91,1315,2021,_2,__,2
72508,2330466,saikyo.ed.jp,82,1354,2021,_2,__,2
72509,2330482,saikyo.ed.jp,77,1355,2021,_2,__,2
72510,2330547,saikyo.ed.jp,78,1280,2021,_2,__,2
72511,2330563,saikyo.ed.jp,,1281,2021,_2,__,2
72512,2330571,saikyo.ed.jp,89,1282,2021,_2,__,2
72513,2330601,saikyo.ed.jp,80,1283,2021,_2,__,2
72514,2330610,saikyo.ed.jp,71,1317,2021,_2,__,2
72515,2330687,saikyo.ed.jp,79,1286,2021,_2,__,2
72516,2330709,saikyo.ed.jp,79,1321,2021,_2,__,2
72517,2330792,saikyo.ed.jp,70,1365,2021,_2,__,2
72518,2330822,saikyo.ed.jp,96,1289,2021,_2,__,2
72519,2330830,saikyo.ed.jp,69,1367,2021,_2,__,2
72520,2330865,saikyo.ed.jp,81,1369,2021,_2,__,2
72521,2330873,saikyo.ed.jp,81,1290,2021,_2,__,2
72522,2330890,saikyo.ed.jp,73,1291,2021,_2,__,2
72523,2330938,saikyo.ed.jp,95,1330,2021,_2,__,2
72524,2330946,saikyo.ed.jp,86,1371,2021,_2,__,2
72525,2330954,saikyo.ed.jp,80,1332,2021,_2,__,2
