student_id,course_name,name,scaled
1261,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.51
1262,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.64
1263,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.59
1264,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.62
1265,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.59
1266,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.62
1267,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.5
1268,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.59
1269,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.66
1270,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.68
1271,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.87
1272,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.67
1273,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.72
1274,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.53
1275,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.54
1276,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.48
1277,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.57
1278,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.59
1279,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.55
1280,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.72
1281,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.63
1282,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.88
1283,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.66
1284,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.62
1285,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.77
1286,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.72
1287,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.37
1288,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.63
1289,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.75
1290,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.54
1291,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.56
1292,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.63
1293,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.52
1294,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.74
1295,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.58
1296,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.77
1297,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.66
1298,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.86
1299,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.75
1300,2020年度数学[中1]A組,2020_中学_1年_数学_Benesse模試1回,0.82
1301,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.78
1302,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.61
1303,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.46
1304,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.73
1305,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.61
1306,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.7
1307,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.78
1308,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.79
1309,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.79
1310,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.67
1311,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.56
1312,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.56
1313,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.67
1314,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.86
1315,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.66
1316,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.52
1317,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.65
1318,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.86
1319,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.57
1320,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.67
1321,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.51
1322,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.53
1323,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.83
1324,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.68
1325,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.57
1326,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.69
1327,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.62
1328,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.65
1329,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.77
1330,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.88
1331,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.79
1332,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.56
1333,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.68
1334,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.6
1335,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.58
1336,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.68
1337,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.47
1338,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.73
1339,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.54
1340,2020年度数学[中1]B組,2020_中学_1年_数学_Benesse模試1回,0.41
1341,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.62
1342,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.76
1343,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.78
1344,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.6
1345,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.51
1346,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.7
1347,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.7
1348,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.69
1349,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.56
1350,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.69
1351,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.75
1352,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.74
1353,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.83
1354,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.73
1355,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.64
1356,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.64
1357,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.68
1358,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.64
