student_no,raw_score
2330040,75
2330059,91
2330091,87
2330130,79
2330148,88
2330156,91
2330199,94
2330202,89
2330210,87
2330245,76
2330253,78
2330288,74
2330318,84
2330342,90
2330423,93
2330458,91
2330466,82
2330482,77
2330547,78
2330563,
2330571,89
2330601,80
2330610,71
2330687,79
2330709,79
2330792,70
2330822,96
2330830,69
2330865,81
2330873,81
2330890,73
2330938,95
2330946,86
2330954,80
2331055,89
2331063,71
2331080,50
2331128,92
2331160,85
2331187,94
2330016,73
2330024,83
2330032,77
2330067,96
2330075,60
2330083,75
2330121,83
2330180,90
2330237,75
2330261,80
2330270,68
2330326,75
2330334,52
2330385,91
2330393,71
2330415,78
2330440,81
2330474,71
2330490,56
2330504,84
2330580,79
2330636,97
2330628,
2330660,96
2330717,74
2330768,95
2330733,49
2330776,79
2330784,81
2330857,78
2330881,79
2330970,85
2330989,88
2330997,77
2331039,71
2331047,72
2331071,98
2331110,97
2331136,78
2331179,77
2330105,77
2330113,78
2330164,94
2330172,94
2330229,77
2330296,71
2330300,79
2330350,75
2330369,82
2330377,74
2330407,73
2330431,91
2330512,
2330520,96
2330539,87
2330555,80
2330598,83
2330644,87
2330652,98
2330679,76
2330695,88
2330725,89
2330741,81
2330750,87
2330806,94
2330814,89
2330849,100
2330903,63
2330911,94
2330920,62
2330962,85
2331004,92
2331012,74
2331020,90
2331098,76
2331101,86
2331144,93
2331152,86
2331195,100
2331209,81
