student_no,raw_score
2430045,66
2430088,91
2430142,69
2430150,73
2430185,57
2430290,70
2430304,95
2430320,72
2430339,89
2430398,67
2430401,81
2430436,85
2430444,68
2430460,86
2430495,81
2430525,87
2430541,86
2430584,70
2430606,69
2430614,72
2430622,60
2430630,96
2430649,93
2430894,74
2430690,44
2430703,67
2430762,79
2430797,98
2430827,71
2430843,77
2430851,77
2430886,63
2431025,84
2431033,87
2431050,65
2431092,65
2431114,80
2431122,86
2431165,74
2431181,73
2430037,75
2430096,71
2430100,82
2430134,67
2430169,82
2430177,72
2430223,71
2430240,82
2430266,68
2430274,82
2430282,72
2430312,57
2430363,63
2430371,90
2430380,82
2430428,70
2430452,66
2430479,80
2430487,68
2430533,78
2430550,72
2430576,77
2430592,66
2430711,60
2430231,74
2430770,80
2430789,93
2430819,61
2430835,77
2430908,79
2430932,69
2430967,72
2430991,72
2431017,96
2431068,77
2431076,82
2431106,87
2431149,73
2431173,76
2431203,77
2430010,73
2430029,75
2430053,70
2430061,72
2430070,79
2430118,77
2430126,74
2430193,77
2430207,85
2430215,62
2430258,77
2430347,63
2430355,63
2430410,70
2430509,90
2430517,77
2430568,57
2430657,68
2430665,76
2430673,65
2430681,77
2430720,74
2430738,77
2430746,79
2430754,49
2430800,79
2430860,64
2430878,79
2430916,77
2430924,79
2430940,72
2430959,74
2430975,72
2430983,76
2431009,79
2431041,75
2431084,95
2431130,77
2431157,84
2431190,71
