student_no,raw_score
2330040,79
2330059,94
2330091,74
2330130,67
2330148,77
2330156,76
2330199,93
2330202,78
2330210,82
2330245,82
2330253,92
2330288,64
2330318,71
2330342,88
2330423,78
2330458,84
2330466,60
2330482,70
2330547,
2330563,
2330571,77
2330601,68
2330610,50
2330687,58
2330709,69
2330792,59
2330822,89
2330830,61
2330865,72
2330873,53
2330890,61
2330938,88
2330946,72
2330954,58
2331055,
2331063,50
2331080,52
2331128,87
2331160,74
2331187,93
2330016,68
2330024,67
2330032,73
2330067,98
2330075,40
2330083,62
2330121,56
2330180,74
2330237,45
2330261,77
2330270,81
2330326,60
2330334,50
2330385,97
2330393,63
2330415,66
2330440,87
2330474,71
2330490,47
2330504,78
2330580,66
2330636,89
2330628,
2330660,88
2330717,72
2330768,70
2330733,
2330776,70
2330784,69
2330857,78
2330881,71
2330970,87
2330989,62
2330997,64
2331039,59
2331047,78
2331071,89
2331110,84
2331136,67
2331179,62
2330105,41
2330113,53
2330164,90
2330172,83
2330229,66
2330296,53
2330300,65
2330350,73
2330369,75
2330377,65
2330407,51
2330431,85
2330512,
2330520,80
2330539,68
2330555,49
2330598,64
2330644,81
2330652,78
2330679,82
2330695,75
2330725,80
2330741,74
2330750,88
2330806,82
2330814,79
2330849,87
2330903,57
2330911,84
2330920,
2330962,83
2331004,70
2331012,65
2331020,51
2331098,90
2331101,77
2331144,83
2331152,61
2331195,89
2331209,72
