student_no,raw_score
2530023,67
2530040,82
2530066,83
2530139,77
2530198,66
2530244,76
2530228,75
2530279,77
2530317,67
2530333,71
2530350,79
2530392,60
2530422,84
2530490,94
2530520,79
2530554,72
2530562,86
2530589,87
2530600,80
2530619,57
2530635,49
2530643,74
2530651,86
2530759,50
2530724,92
2530767,67
2530783,73
2530805,47
2530902,81
2530910,72
2530929,68
2530953,77
2530961,76
2530988,77
2531011,77
2531020,33
2531097,87
2531100,81
2531194,65
2531208,67
2530015,67
2530058,54
2530090,98
2530112,82
2530147,70
2530155,95
2530163,85
2530180,82
2530236,76
2530252,93
2530260,68
2530325,85
2530341,63
2530430,90
2530449,67
2530465,43
2530473,78
2530538,66
2530546,62
2530597,71
2530678,77
2530686,58
2530708,68
2530732,87
2530791,86
2530830,84
2530848,65
2530856,81
2530880,54
2530937,66
2530970,95
2530996,72
2531003,89
2531054,74
2531062,69
2531070,77
2531119,77
2531127,66
2531186,96
2530031,74
2530074,76
2530082,47
2530104,86
2530120,88
2530171,63
2530201,92
2530210,74
2530287,63
2530295,78
2530309,76
2530368,67
2530376,82
2530384,75
2530406,88
2530414,85
2530457,87
2530481,68
2530503,74
2530511,97
2530570,75
2530627,74
2530660,75
2530694,74
2530716,64
2530740,60
2530775,69
2530813,64
2530821,87
2530864,90
2530872,92
2530945,57
2531038,91
2531046,65
2531089,75
2531135,76
2531143,70
2531151,94
2531160,100
2531178,55
