student_no,raw_score
2530074,81
2530082,72
2530163,93
2530171,50
2530198,75
2530210,79
2530236,61
2530252,85
2530260,66
2530279,58
2530350,79
2530368,50
2530384,72
2530392,64
2530422,74
2530430,87
2530449,70
2530457,73
2530490,90
2530511,89
2530546,61
2530562,71
2530570,78
2530660,76
2530678,76
2530686,67
2530724,92
2530791,92
2530813,64
2530830,89
2530872,80
2530880,68
2530899,38
2530945,52
2530988,70
2531011,75
2531119,69
2531100,92
2531127,67
2531143,73
2530015,62
2530031,74
2530040,78
2530058,52
2530066,56
2530090,73
2530104,79
2530112,79
2530147,72
2530155,90
2530180,81
2530244,72
2530228,72
2530287,91
2530309,55
2530333,86
2530376,72
2530465,46
2530481,56
2530503,84
2530538,59
2530589,94
2530600,81
2530643,70
2530651,81
2530694,84
2530759,51
2530740,53
2530775,76
2530783,51
2530805,45
2530821,94
2530848,64
2530910,78
2530937,72
2531038,76
2531054,84
2531062,54
2531135,84
2531194,57
2530023,55
2530120,84
2530139,89
2530201,71
2530295,61
2530317,58
2530325,72
2530341,62
2530406,82
2530414,83
2530473,76
2530520,86
2530554,84
2530597,74
2530619,77
2530627,73
2530635,58
2530708,58
2530716,80
2530732,81
2530767,80
2530856,71
2530864,88
2530902,69
2530929,68
2530953,73
2530961,71
2530970,90
2530996,78
2531003,82
2531020,27
2531046,87
2531070,75
2531089,70
2531097,68
2531151,90
2531160,93
2531178,76
2531186,92
