student_no,raw_score
2530074,78
2530082,68
2530163,95
2530171,71
2530198,63
2530210,73
2530236,73
2530252,57
2530260,62
2530279,70
2530350,73
2530368,54
2530384,61
2530392,47
2530422,66
2530430,83
2530449,67
2530457,72
2530490,72
2530511,81
2530546,57
2530562,74
2530570,79
2530660,73
2530678,59
2530686,72
2530724,84
2530791,81
2530813,60
2530830,63
2530872,96
2530880,81
2530899,62
2530945,68
2530988,64
2531011,66
2531119,77
2531100,56
2531127,79
2531143,69
2530015,62
2530031,89
2530040,71
2530058,63
2530066,41
2530090,54
2530104,69
2530112,68
2530147,72
2530155,90
2530180,71
2530244,61
2530228,85
2530287,85
2530309,59
2530333,74
2530376,55
2530465,57
2530481,56
2530503,48
2530538,69
2530589,64
2530600,77
2530643,54
2530651,75
2530694,66
2530759,60
2530740,83
2530775,76
2530783,64
2530805,57
2530821,75
2530848,82
2530910,66
2530937,67
2531038,50
2531054,71
2531062,37
2531135,82
2531194,69
2530023,80
2530120,95
2530139,77
2530201,85
2530295,56
2530317,59
2530325,61
2530341,67
2530406,80
2530414,61
2530473,72
2530520,54
2530554,74
2530597,49
2530619,79
2530627,82
2530635,58
2530708,56
2530716,78
2530732,83
2530767,70
2530856,69
2530864,94
2530902,78
2530929,67
2530953,69
2530961,84
2530970,79
2530996,86
2531003,66
2531020,53
2531046,49
2531070,74
2531089,53
2531097,53
2531151,87
2531160,82
2531178,76
2531186,89
