student_no,raw_score,exam_round,year,grade,subject,student_id
2530023,47.0,1,2022,中1,英語,2143
2530066,68.0,1,2022,中1,英語,2144
2530074,68.0,1,2022,中1,英語,2145
2530112,90.0,1,2022,中1,英語,2146
2530155,92.0,1,2022,中1,英語,2147
2530198,71.0,1,2022,中1,英語,2148
2530228,67.0,1,2022,中1,英語,2149
2530260,71.0,1,2022,中1,英語,2150
2530287,63.0,1,2022,中1,英語,2151
2530317,53.0,1,2022,中1,英語,2152
2530333,69.0,1,2022,中1,英語,2153
2530376,83.0,1,2022,中1,英語,2154
2530384,70.0,1,2022,中1,英語,2155
2530392,77.0,1,2022,中1,英語,2156
2530422,90.0,1,2022,中1,英語,2157
2530457,79.0,1,2022,中1,英語,2158
2530503,66.0,1,2022,中1,英語,2159
2530570,92.0,1,2022,中1,英語,2160
2530651,80.0,1,2022,中1,英語,2161
2530660,74.0,1,2022,中1,英語,2162
2530678,65.0,1,2022,中1,英語,2163
2530686,51.0,1,2022,中1,英語,2164
2530708,66.0,1,2022,中1,英語,2165
2530732,84.0,1,2022,中1,英語,2166
2530791,98.0,1,2022,中1,英語,2167
2530813,63.0,1,2022,中1,英語,2168
2530821,98.0,1,2022,中1,英語,2169
2530872,79.0,1,2022,中1,英語,2170
2530937,43.0,1,2022,中1,英語,2171
2530953,89.0,1,2022,中1,英語,2172
2530961,73.0,1,2022,中1,英語,2173
2530970,88.0,1,2022,中1,英語,2174
2531003,92.0,1,2022,中1,英語,2175
2531020,55.0,1,2022,中1,英語,2176
2531119,87.0,1,2022,中1,英語,2177
2531097,94.0,1,2022,中1,英語,2178
2531100,79.0,1,2022,中1,英語,2179
2531151,96.0,1,2022,中1,英語,2180
2531160,78.0,1,2022,中1,英語,2181
2531186,100.0,1,2022,中1,英語,2182
2530031,67.0,1,2022,中1,英語,2183
2530058,65.0,1,2022,中1,英語,2184
2530120,84.0,1,2022,中1,英語,2185
2530180,90.0,1,2022,中1,英語,2186
2530210,92.0,1,2022,中1,英語,2187
2530244,82.0,1,2022,中1,英語,2188
2530236,96.0,1,2022,中1,英語,2189
2530252,92.0,1,2022,中1,英語,2190
2530279,89.0,1,2022,中1,英語,2191
2530295,75.0,1,2022,中1,英語,2192
2530309,71.0,1,2022,中1,英語,2193
2530325,93.0,1,2022,中1,英語,2194
2530341,56.0,1,2022,中1,英語,2195
2530368,77.0,1,2022,中1,英語,2196
2530406,80.0,1,2022,中1,英語,2197
2530430,87.0,1,2022,中1,英語,2198
2530465,39.0,1,2022,中1,英語,2199
2530473,58.0,1,2022,中1,英語,2200
2530490,69.0,1,2022,中1,英語,2201
2530511,96.0,1,2022,中1,英語,2202
2530520,78.0,1,2022,中1,英語,2203
2530554,73.0,1,2022,中1,英語,2204
2530562,82.0,1,2022,中1,英語,2205
2530589,98.0,1,2022,中1,英語,2206
2530597,77.0,1,2022,中1,英語,2207
2530600,61.0,1,2022,中1,英語,2208
2530627,81.0,1,2022,中1,英語,2209
2530759,65.0,1,2022,中1,英語,2210
2530716,57.0,1,2022,中1,英語,2211
2530767,69.0,1,2022,中1,英語,2212
2530775,86.0,1,2022,中1,英語,2213
2530830,94.0,1,2022,中1,英語,2214
2530880,46.0,1,2022,中1,英語,2215
2530929,73.0,1,2022,中1,英語,2216
2530988,71.0,1,2022,中1,英語,2217
2531011,81.0,1,2022,中1,英語,2218
2531038,98.0,1,2022,中1,英語,2219
2531062,26.0,1,2022,中1,英語,2220
2531070,82.0,1,2022,中1,英語,2221
2531178,42.0,1,2022,中1,英語,2222
2530015,52.0,1,2022,中1,英語,2223
2530040,55.0,1,2022,中1,英語,2224
2530082,73.0,1,2022,中1,英語,2225
2530090,75.0,1,2022,中1,英語,2226
2530104,91.0,1,2022,中1,英語,2227
2530139,66.0,1,2022,中1,英語,2228
2530147,64.0,1,2022,中1,英語,2229
2530163,80.0,1,2022,中1,英語,2230
2530171,53.0,1,2022,中1,英語,2231
2530201,96.0,1,2022,中1,英語,2232
2530350,57.0,1,2022,中1,英語,2233
2530414,78.0,1,2022,中1,英語,2234
2530449,81.0,1,2022,中1,英語,2235
2530481,67.0,1,2022,中1,英語,2236
2530538,58.0,1,2022,中1,英語,2237
2530546,57.0,1,2022,中1,英語,2238
2530619,68.0,1,2022,中1,英語,2239
2530635,84.0,1,2022,中1,英語,2240
2530643,57.0,1,2022,中1,英語,2241
2530694,78.0,1,2022,中1,英語,2242
2530724,92.0,1,2022,中1,英語,2243
2530740,68.0,1,2022,中1,英語,2244
2530783,43.0,1,2022,中1,英語,2245
2530805,77.0,1,2022,中1,英語,2246
2530848,65.0,1,2022,中1,英語,2247
2530856,66.0,1,2022,中1,英語,2248
2530864,89.0,1,2022,中1,英語,2249
2530899,69.0,1,2022,中1,英語,2250
2530902,62.0,1,2022,中1,英語,2251
2530910,72.0,1,2022,中1,英語,2252
2530945,54.0,1,2022,中1,英語,2253
2530996,66.0,1,2022,中1,英語,2254
2531046,75.0,1,2022,中1,英語,2255
2531054,72.0,1,2022,中1,英語,2256
2531089,64.0,1,2022,中1,英語,2257
2531127,79.0,1,2022,中1,英語,2258
2531135,72.0,1,2022,中1,英語,2259
2531143,63.0,1,2022,中1,英語,2260
2531194,96.0,1,2022,中1,英語,2261
2531208,90.0,1,2022,中1,英語,2262
