id,student_no,raw_score,exam_round,year,grade,student_id
73679,2330016,66.0,1,2021,中2,1341
73680,2330024,67.0,1,2021,中2,1342
73681,2330059,91.0,1,2021,中2,1343
73682,2330083,65.0,1,2021,中2,1344
73683,2330121,49.0,1,2021,中2,1266
73684,2330130,65.0,1,2021,中2,1345
73685,2330148,63.0,1,2021,中2,1303
73686,2330245,66.0,1,2021,中2,1309
73687,2330270,68.0,1,2021,中2,1310
73688,2330318,65.0,1,2021,中2,1351
73689,2330334,58.0,1,2021,中2,1311
73690,2330369,77.0,1,2021,中2,1272
73691,2330407,56.0,1,2021,中2,1274
73692,2330415,73.0,1,2021,中2,1275
73693,2330431,76.0,1,2021,中2,1276
73694,2330466,56.0,1,2021,中2,1354
73695,2330490,45.0,1,2021,中2,1356
73696,2330504,74.0,1,2021,中2,1316
73697,2330571,55.0,1,2021,中2,1282
73698,2330598,70.0,1,2021,中2,1361
73699,2330644,58.0,1,2021,中2,1319
73700,2330652,93.0,1,2021,中2,1362
73701,2330784,57.0,1,2021,中2,1326
73702,2330806,78.0,1,2021,中2,1327
73703,2330814,74.0,1,2021,中2,1366
73704,2330830,72.0,1,2021,中2,1367
73705,2330849,79.0,1,2021,中2,1328
73706,2330857,69.0,1,2021,中2,1368
73707,2330865,55.0,1,2021,中2,1369
73708,2330881,76.0,1,2021,中2,1370
73709,2330911,66.0,1,2021,中2,1292
73710,2330946,74.0,1,2021,中2,1371
73711,2330962,82.0,1,2021,中2,1372
73712,2330997,79.0,1,2021,中2,1294
73713,2331047,74.0,1,2021,中2,1375
73714,2331055,67.0,1,2021,中2,1376
73715,2331080,44.0,1,2021,中2,1377
73716,2331101,53.0,1,2021,中2,1336
73717,2331110,80.0,1,2021,中2,1297
73718,2331209,63.0,1,2021,中2,1340
73719,2330040,68.0,1,2021,中2,1261
73720,2330067,82.0,1,2021,中2,1262
73721,2330075,50.0,1,2021,中2,1263
73722,2330105,60.0,1,2021,中2,1302
73723,2330164,92.0,1,2021,中2,1267
73724,2330180,67.0,1,2021,中2,1305
73725,2330202,89.0,1,2021,中2,1307
73726,2330237,49.0,1,2021,中2,1308
73727,2330253,76.0,1,2021,中2,1349
73728,2330261,68.0,1,2021,中2,1268
73729,2330300,66.0,1,2021,中2,1270
73730,2330326,52.0,1,2021,中2,1352
73731,2330342,88.0,1,2021,中2,1271
73732,2330377,62.0,1,2021,中2,1353
73733,2330423,89.0,1,2021,中2,1314
73734,2330482,65.0,1,2021,中2,1355
73735,2330512,54.0,1,2021,中2,1357
73736,2330520,96.0,1,2021,中2,1358
73737,2330555,46.0,1,2021,中2,1359
73738,2330610,55.0,1,2021,中2,1317
73739,2330636,65.0,1,2021,中2,1284
73740,2330679,76.0,1,2021,中2,1320
73741,2330687,71.0,1,2021,中2,1286
73742,2330695,82.0,1,2021,中2,1363
73743,2330717,,1,2021,中2,1322
73744,2330725,72.0,1,2021,中2,1364
73745,2330733,63.0,1,2021,中2,1323
73746,2330750,81.0,1,2021,中2,1324
73747,2330776,53.0,1,2021,中2,1288
73748,2330792,57.0,1,2021,中2,1365
73749,2330903,50.0,1,2021,中2,1329
73750,2330938,92.0,1,2021,中2,1330
73751,2330989,55.0,1,2021,中2,1293
73752,2331004,77.0,1,2021,中2,1295
73753,2331020,48.0,1,2021,中2,1374
73754,2331071,88.0,1,2021,中2,1296
73755,2331098,79.0,1,2021,中2,1378
73756,2331128,75.0,1,2021,中2,1337
73757,2331144,92.0,1,2021,中2,1338
73758,2330032,79.0,1,2021,中2,1301
73759,2330091,66.0,1,2021,中2,1264
73760,2330113,49.0,1,2021,中2,1265
73761,2330156,85.0,1,2021,中2,1346
73762,2330172,79.0,1,2021,中2,1304
73763,2330199,88.0,1,2021,中2,1306
73764,2330210,69.0,1,2021,中2,1347
73765,2330229,60.0,1,2021,中2,1348
73766,2330288,62.0,1,2021,中2,1269
73767,2330296,54.0,1,2021,中2,1350
73768,2330350,55.0,1,2021,中2,1312
73769,2330385,93.0,1,2021,中2,1313
73770,2330393,52.0,1,2021,中2,1273
73771,2330440,56.0,1,2021,中2,1277
73772,2330458,92.0,1,2021,中2,1315
73773,2330474,70.0,1,2021,中2,1278
73774,2330539,42.0,1,2021,中2,1279
73775,2330547,38.0,1,2021,中2,1280
73776,2330563,,1,2021,中2,1281
73777,2330580,83.0,1,2021,中2,1360
73778,2330601,70.0,1,2021,中2,1283
73779,2330628,61.0,1,2021,中2,1318
73780,2330660,79.0,1,2021,中2,1285
73781,2330709,61.0,1,2021,中2,1321
73782,2330741,59.0,1,2021,中2,1287
73783,2330822,84.0,1,2021,中2,1289
73784,2330873,51.0,1,2021,中2,1290
73785,2330890,49.0,1,2021,中2,1291
73786,2330954,53.0,1,2021,中2,1332
73787,2330970,89.0,1,2021,中2,1373
73788,2331012,44.0,1,2021,中2,1333
73789,2331039,58.0,1,2021,中2,1334
73790,2331063,50.0,1,2021,中2,1335
73791,2331136,60.0,1,2021,中2,1379
73792,2331152,65.0,1,2021,中2,1339
73793,2331160,52.0,1,2021,中2,1298
73794,2331179,66.0,1,2021,中2,1299
73795,2331187,98.0,1,2021,中2,1300
73796,2331195,93.0,1,2021,中2,1380
