student_no,raw_score,exam_round,year,grade,subject,student_id
2530023,80.0,1,2023,中2,数学,2143
2530040,80.0,1,2023,中2,数学,2224
2530066,65.0,1,2023,中2,数学,2144
2530139,87.0,1,2023,中2,数学,2228
2530198,78.0,1,2023,中2,数学,2148
2530244,73.0,1,2023,中2,数学,2188
2530228,76.0,1,2023,中2,数学,2149
2530279,80.0,1,2023,中2,数学,2191
2530317,50.0,1,2023,中2,数学,2152
2530333,93.0,1,2023,中2,数学,2153
2530350,97.0,1,2023,中2,数学,2233
2530392,44.0,1,2023,中2,数学,2156
2530422,71.0,1,2023,中2,数学,2157
2530490,85.0,1,2023,中2,数学,2201
2530520,83.0,1,2023,中2,数学,2203
2530554,100.0,1,2023,中2,数学,2204
2530562,85.0,1,2023,中2,数学,2205
2530589,90.0,1,2023,中2,数学,2206
2530600,87.0,1,2023,中2,数学,2208
2530619,69.0,1,2023,中2,数学,2239
2530635,67.0,1,2023,中2,数学,2240
2530643,53.0,1,2023,中2,数学,2241
2530651,85.0,1,2023,中2,数学,2161
2530759,65.0,1,2023,中2,数学,2210
2530724,95.0,1,2023,中2,数学,2243
2530767,84.0,1,2023,中2,数学,2212
2530783,69.0,1,2023,中2,数学,2245
2530805,65.0,1,2023,中2,数学,2246
2530902,90.0,1,2023,中2,数学,2251
2530910,61.0,1,2023,中2,数学,2252
2530929,77.0,1,2023,中2,数学,2216
2530953,68.0,1,2023,中2,数学,2172
2530961,76.0,1,2023,中2,数学,2173
2530988,95.0,1,2023,中2,数学,2217
2531011,78.0,1,2023,中2,数学,2218
2531020,64.0,1,2023,中2,数学,2176
2531097,38.0,1,2023,中2,数学,2178
2531100,88.0,1,2023,中2,数学,2179
2531194,69.0,1,2023,中2,数学,2261
2531208,68.0,1,2023,中2,数学,2262
2530015,76.0,1,2023,中2,数学,2223
2530058,71.0,1,2023,中2,数学,2184
2530090,85.0,1,2023,中2,数学,2226
2530112,63.0,1,2023,中2,数学,2146
2530147,86.0,1,2023,中2,数学,2229
2530155,97.0,1,2023,中2,数学,2147
2530163,93.0,1,2023,中2,数学,2230
2530180,85.0,1,2023,中2,数学,2186
2530236,85.0,1,2023,中2,数学,2189
2530252,85.0,1,2023,中2,数学,2190
2530260,69.0,1,2023,中2,数学,2150
2530325,97.0,1,2023,中2,数学,2194
