student_no,raw_score,exam_round,year,grade,subject,student_id,scaled,course_name,name,time_label
2430045,66.0,1,2021,中1,Math,1709,,,,2021年度 中1 第1回
2430088,91.0,1,2021,中1,Math,1713,,,,2021年度 中1 第1回
2430142,69.0,1,2021,中1,Math,1719,,,,2021年度 中1 第1回
2430150,73.0,1,2021,中1,Math,1720,,,,2021年度 中1 第1回
2430185,57.0,1,2021,中1,Math,1723,,,,2021年度 中1 第1回
2430290,70.0,1,2021,中1,Math,1734,,,,2021年度 中1 第1回
2430304,95.0,1,2021,中1,Math,1735,,,,2021年度 中1 第1回
2430320,72.0,1,2021,中1,Math,1737,,,,2021年度 中1 第1回
2430339,89.0,1,2021,中1,Math,1738,,,,2021年度 中1 第1回
2430398,67.0,1,2021,中1,Math,1744,,,,2021年度 中1 第1回
2430401,81.0,1,2021,中1,Math,1745,,,,2021年度 中1 第1回
2430436,85.0,1,2021,中1,Math,1748,,,,2021年度 中1 第1回
2430444,68.0,1,2021,中1,Math,1749,,,,2021年度 中1 第1回
2430460,86.0,1,2021,中1,Math,1751,,,,2021年度 中1 第1回
2430495,81.0,1,2021,中1,Math,1754,,,,2021年度 中1 第1回
2430525,87.0,1,2021,中1,Math,1757,,,,2021年度 中1 第1回
2430541,86.0,1,2021,中1,Math,1759,,,,2021年度 中1 第1回
2430584,70.0,1,2021,中1,Math,1763,,,,2021年度 中1 第1回
2430606,69.0,1,2021,中1,Math,1765,,,,2021年度 中1 第1回
2430622,60.0,1,2021,中1,Math,1767,,,,2021年度 中1 第1回
2430630,96.0,1,2021,中1,Math,1768,,,,2021年度 中1 第1回
2430649,93.0,1,2021,中1,Math,1769,,,,2021年度 中1 第1回
2430894,74.0,1,2021,中1,Math,1794,,,,2021年度 中1 第1回
2430690,44.0,1,2021,中1,Math,1774,,,,2021年度 中1 第1回
2430703,67.0,1,2021,中1,Math,1775,,,,2021年度 中1 第1回
2430762,79.0,1,2021,中1,Math,1781,,,,2021年度 中1 第1回
2430797,98.0,1,2021,中1,Math,1784,,,,2021年度 中1 第1回
2430827,71.0,1,2021,中1,Math,1787,,,,2021年度 中1 第1回
2430843,77.0,1,2021,中1,Math,1789,,,,2021年度 中1 第1回
2430851,77.0,1,2021,中1,Math,1790,,,,2021年度 中1 第1回
2430886,63.0,1,2021,中1,Math,1793,,,,2021年度 中1 第1回
2431025,84.0,1,2021,中1,Math,1807,,,,2021年度 中1 第1回
2431033,87.0,1,2021,中1,Math,1808,,,,2021年度 中1 第1回
2431050,65.0,1,2021,中1,Math,1810,,,,2021年度 中1 第1回
2431092,65.0,1,2021,中1,Math,1814,,,,2021年度 中1 第1回
2431114,80.0,1,2021,中1,Math,1816,,,,2021年度 中1 第1回
2431122,86.0,1,2021,中1,Math,1817,,,,2021年度 中1 第1回
2431165,74.0,1,2021,中1,Math,1821,,,,2021年度 中1 第1回
2431181,73.0,1,2021,中1,Math,1823,,,,2021年度 中1 第1回
2430037,75.0,1,2021,中1,Math,1708,,,,2021年度 中1 第1回
2430096,71.0,1,2021,中1,Math,1714,,,,2021年度 中1 第1回
2430100,82.0,1,2021,中1,Math,1715,,,,2021年度 中1 第1回
2430134,67.0,1,2021,中1,Math,1718,,,,2021年度 中1 第1回
2430169,82.0,1,2021,中1,Math,1721,,,,2021年度 中1 第1回
2430177,72.0,1,2021,中1,Math,1722,,,,2021年度 中1 第1回
2430223,71.0,1,2021,中1,Math,1727,,,,2021年度 中1 第1回
2430240,82.0,1,2021,中1,Math,1729,,,,2021年度 中1 第1回
2430266,68.0,1,2021,中1,Math,1731,,,,2021年度 中1 第1回
2430274,82.0,1,2021,中1,Math,1732,,,,2021年度 中1 第1回
2430282,72.0,1,2021,中1,Math,1733,,,,2021年度 中1 第1回
2430312,57.0,1,2021,中1,Math,1736,,,,2021年度 中1 第1回
2430371,90.0,1,2021,中1,Math,1742,,,,2021年度 中1 第1回
2430380,82.0,1,2021,中1,Math,1743,,,,2021年度 中1 第1回
2430428,70.0,1,2021,中1,Math,1747,,,,2021年度 中1 第1回
2430452,66.0,1,2021,中1,Math,1750,,,,2021年度 中1 第1回
2430479,80.0,1,2021,中1,Math,1752,,,,2021年度 中1 第1回
2430487,68.0,1,2021,中1,Math,1753,,,,2021年度 中1 第1回
2430533,78.0,1,2021,中1,Math,1758,,,,2021年度 中1 第1回
2430550,72.0,1,2021,中1,Math,1760,,,,2021年度 中1 第1回
2430576,77.0,1,2021,中1,Math,1762,,,,2021年度 中1 第1回
2430592,66.0,1,2021,中1,Math,1764,,,,2021年度 中1 第1回
2430770,80.0,1,2021,中1,Math,1782,,,,2021年度 中1 第1回
2430789,93.0,1,2021,中1,Math,1783,,,,2021年度 中1 第1回
2430819,61.0,1,2021,中1,Math,1786,,,,2021年度 中1 第1回
2430835,77.0,1,2021,中1,Math,1788,,,,2021年度 中1 第1回
2430908,79.0,1,2021,中1,Math,1795,,,,2021年度 中1 第1回
2430932,69.0,1,2021,中1,Math,1798,,,,2021年度 中1 第1回
2430967,72.0,1,2021,中1,Math,1801,,,,2021年度 中1 第1回
2430991,72.0,1,2021,中1,Math,1804,,,,2021年度 中1 第1回
2431017,96.0,1,2021,中1,Math,1806,,,,2021年度 中1 第1回
2431068,77.0,1,2021,中1,Math,1811,,,,2021年度 中1 第1回
2431076,82.0,1,2021,中1,Math,1812,,,,2021年度 中1 第1回
2431106,87.0,1,2021,中1,Math,1815,,,,2021年度 中1 第1回
2431149,73.0,1,2021,中1,Math,1819,,,,2021年度 中1 第1回
2431173,76.0,1,2021,中1,Math,1822,,,,2021年度 中1 第1回
2431203,77.0,1,2021,中1,Math,1825,,,,2021年度 中1 第1回
2430010,73.0,1,2021,中1,Math,1706,,,,2021年度 中1 第1回
2430029,75.0,1,2021,中1,Math,1707,,,,2021年度 中1 第1回
2430053,70.0,1,2021,中1,Math,1710,,,,2021年度 中1 第1回
2430061,72.0,1,2021,中1,Math,1711,,,,2021年度 中1 第1回
2430070,79.0,1,2021,中1,Math,1712,,,,2021年度 中1 第1回
2430118,77.0,1,2021,中1,Math,1716,,,,2021年度 中1 第1回
2430126,74.0,1,2021,中1,Math,1717,,,,2021年度 中1 第1回
2430193,77.0,1,2021,中1,Math,1724,,,,2021年度 中1 第1回
2430207,85.0,1,2021,中1,Math,1725,,,,2021年度 中1 第1回
2430258,77.0,1,2021,中1,Math,1730,,,,2021年度 中1 第1回
2430347,63.0,1,2021,中1,Math,1739,,,,2021年度 中1 第1回
